IKN;Yuklenici Firma;Ihale Adi;Parti No;Parti Son Teslim Tarihi;Parti Tutari;Ambar teslimi gerceklesti;Testler basladi;Test sonuclari geldi;Muayene - Kabul  Evragi imzada;Kabul Yapildi;Fatura Kesildi;Odeme Emri Hazirlandi;Aciklama;SonGuncelleme;Parti Miktari;Sozlesme Tarihi;Malzeme Detayi;Heyet Baskanina Haber Verildi;Testler Basladi Detay;Test Sonuclari Geldi Detay;Ihale Turu;Ihale Usulu;Yak. Maliyet;Ihale Tarihi;Ise Baslama Tarihi;Isin Suresi;Cari No;Proje No;Kart No
2024/1447102;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;CW617N Pirinç Malzemeden Mamul Bağlantı Parçası, Manson Tip Bağlantı Parçası, Stop Vana, Sayaç Rakoru, Nipel ve Nipel Redüksiyon Temini İşi (1.Kısım);5;2025-06-15;16275000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:23);30.000;2025-01-17;;0.0;;;;;280079999,9;;2025-01-18;149 Gün;;;
2024/1447102;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;CW617N Pirinç Malzemeden Mamul Bağlantı Parçası, Manson Tip Bağlantı Parçası, Stop Vana, Sayaç Rakoru, Nipel ve Nipel Redüksiyon Temini İşi (1.Kısım);6;2025-07-15;21700000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:23);40.000;2025-01-17;;0.0;;;;;280079999,9;;2025-01-18;179 Gün;;;
2024/1447102;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;CW617N Pirinç Malzemeden Mamul Bağlantı Parçası, Manson Tip Bağlantı Parçası, Stop Vana, Sayaç Rakoru, Nipel ve Nipel Redüksiyon Temini İşi (1.Kısım);7;2025-08-14;21700000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:23);40.000;2025-01-17;;0.0;;;;;280079999,9;;2025-01-18;209 Gün;;;
2024/1447102;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;CW617N Pirinç Malzemeden Mamul Bağlantı Parçası, Manson Tip Bağlantı Parçası, Stop Vana, Sayaç Rakoru, Nipel ve Nipel Redüksiyon Temini İşi (1.Kısım);8;2025-09-13;21700000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:23);40.000;2025-01-17;;0.0;;;;;280079999,9;;2025-01-18;239 Gün;;;
2024/1447102;Gül Pres Döküm Sanayi A.Ş.;CW617N Pirinç Malzemeden Mamul Bağlantı Parçası, Manson Tip Bağlantı Parçası, Stop Vana, Sayaç Rakoru, Nipel ve Nipel Redüksiyon Temini İşi (2.ve 3.Kısım);2;2025-03-16;30038000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:22);37.000;2025-01-16;"12.000 ad. 1.1/4"" Manşon Tip Bağlantı Parçası
5.000 ad. 1.1/4"" Stop Vana
20.000 ad. 3/4"" Stop Vana";0.0;;;;;304792500,02;;2025-01-17;59 Gün;;;
2024/1447102;Gül Pres Döküm Sanayi A.Ş.;CW617N Pirinç Malzemeden Mamul Bağlantı Parçası, Manson Tip Bağlantı Parçası, Stop Vana, Sayaç Rakoru, Nipel ve Nipel Redüksiyon Temini İşi (2.ve 3.Kısım);3;2025-04-15;30038000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:22);37.000;2025-01-16;"12.000 ad. 1.1/4"" Manşon Tip Bağlantı Parçası
5.000 ad. 1.1/4"" Stop Vana
20.000 ad. 3/4"" Stop Vana";0.0;;;;;304792500,02;;2025-01-17;89 Gün;;;
2024/1447102;Gül Pres Döküm Sanayi A.Ş.;CW617N Pirinç Malzemeden Mamul Bağlantı Parçası, Manson Tip Bağlantı Parçası, Stop Vana, Sayaç Rakoru, Nipel ve Nipel Redüksiyon Temini İşi (2.ve 3.Kısım);4;2025-05-15;23988000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:22);32.000;2025-01-16;"12.000 ad. 1.1/4"" Manşon Tip Bağlantı Parçası
20.000 ad. 3/4"" Stop Vana";0.0;;;;;304792500,02;;2025-01-17;119 Gün;;;
2024/1447102;Gül Pres Döküm Sanayi A.Ş.;CW617N Pirinç Malzemeden Mamul Bağlantı Parçası, Manson Tip Bağlantı Parçası, Stop Vana, Sayaç Rakoru, Nipel ve Nipel Redüksiyon Temini İşi (2.ve 3.Kısım);5;2025-06-14;32388000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:22);32.000;2025-01-16;"20.000 ad. 3/4"" Stop Vana";0.0;;;;;304792500,02;;2025-01-17;149 Gün;;;
2024/1447102;Gül Pres Döküm Sanayi A.Ş.;CW617N Pirinç Malzemeden Mamul Bağlantı Parçası, Manson Tip Bağlantı Parçası, Stop Vana, Sayaç Rakoru, Nipel ve Nipel Redüksiyon Temini İşi (2.ve 3.Kısım);6;2025-07-14;8400000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:22);20.000;2025-01-16;"20.000 ad. 3/4"" Stop Vana";0.0;;;;;304792500,02;;2025-01-17;179 Gün;;;
2024/1447102;Gül Pres Döküm Sanayi A.Ş.;CW617N Pirinç Malzemeden Mamul Bağlantı Parçası, Manson Tip Bağlantı Parçası, Stop Vana, Sayaç Rakoru, Nipel ve Nipel Redüksiyon Temini İşi (2.ve 3.Kısım);1;2025-02-14;30038000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:22);37.000;2025-01-16;"12.000 ad. 1.1/4"" Manşon Tip Bağlantı Parçası
5.000 ad. 1.1/4"" Stop Vana
20.000 ad. 3/4"" Stop Vana";0.0;;;;;304792500,02;;2025-01-17;29 Gün;;;
2024/1447102;AVE Döküm San. ve Tic. Ltd. Şti.;CW617N Pirinç Malzemeden Mamul Bağlantı Parçası, Manson Tip Bağlantı Parçası, Stop Vana, Sayaç Rakoru, Nipel ve Nipel Redüksiyon Temini İşi (4. 5. ve 6.Kısım);1;2025-02-18;5680000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:23);26.000;2025-01-20;"15.000 ad. Sayaç Rakoru DN20MM
5.000 ad. Nipel 1.1/4"" - 5.000 ad. Nipel Redüksiyon 1""-3/4""
1.000 ad. Nipel Redüksiyon 1.1/4""-1""";0.0;;;;;54900166,67;;2025-01-21;29 Gün;;;
2024/1447102;AVE Döküm San. ve Tic. Ltd. Şti.;CW617N Pirinç Malzemeden Mamul Bağlantı Parçası, Manson Tip Bağlantı Parçası, Stop Vana, Sayaç Rakoru, Nipel ve Nipel Redüksiyon Temini İşi (4. 5. ve 6.Kısım);2;2025-03-20;5230000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:23);25.000;2025-01-20;"15.000 ad. Sayaç Rakoru DN20MM
5.000 ad. Nipel 1.1/4""
5.000 ad. Nipel Redüksiyon 1""-3/4""";0.0;;;;;54900166,67;;2025-01-21;59 Gün;;;
2024/1447102;AVE Döküm San. ve Tic. Ltd. Şti.;CW617N Pirinç Malzemeden Mamul Bağlantı Parçası, Manson Tip Bağlantı Parçası, Stop Vana, Sayaç Rakoru, Nipel ve Nipel Redüksiyon Temini İşi (4. 5. ve 6.Kısım);3;2025-04-19;8390000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:23);33.000;2025-01-20;"15.000 ad. Sayaç Rakoru DN20MM 
13.000 ad. Nipel 1.1/4""
5.000 ad. Nipel Redüksiyon 1""-3/4""";0.0;;;;;54900166,67;;2025-01-21;89 Gün;;;
2024/1447102;AVE Döküm San. ve Tic. Ltd. Şti.;CW617N Pirinç Malzemeden Mamul Bağlantı Parçası, Manson Tip Bağlantı Parçası, Stop Vana, Sayaç Rakoru, Nipel ve Nipel Redüksiyon Temini İşi (4. 5. ve 6.Kısım);4;2025-05-19;3255000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:23);20.000;2025-01-20;"15.000 ad. Sayaç Rakoru DN20MM
5.000 ad. Nipel Redüksiyon 1""-3/4""";0.0;;;;;54900166,67;;2025-01-21;119 Gün;;;
2024/1447102;AVE Döküm San. ve Tic. Ltd. Şti.;CW617N Pirinç Malzemeden Mamul Bağlantı Parçası, Manson Tip Bağlantı Parçası, Stop Vana, Sayaç Rakoru, Nipel ve Nipel Redüksiyon Temini İşi (4. 5. ve 6.Kısım);5;2025-06-18;3255000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:23);20.000;2025-01-20;"15.000 ad. Sayaç Rakoru DN20MM
5.000 ad. Nipel Redüksiyon 1""-3/4""";0.0;;;;;54900166,67;;2025-01-21;149 Gün;;;
2025/579864 ;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;CW617N Pirinç Malzemeden Mamul Kör Tapa Temini İşi;1;2025-08-15;3255000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (12.05.2026 11:45);35.000;2025-07-16;"1"" KÖR TAPA	25.000 Adet
1.1/4"" KÖR TAPA 10.000 Adet";0.0;;;;;;;2025-07-17;30 Gün;;;
2025/579864 ;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;CW617N Pirinç Malzemeden Mamul Kör Tapa Temini İşi;2;2025-09-14;1675000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (12.05.2026 11:45);25.000;2025-07-16;"1"" KÖR TAPA 25.000 Adet";0.0;;;;;;;2025-07-17;60 Gün;;;
2025/579864 ;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;CW617N Pirinç Malzemeden Mamul Kör Tapa Temini İşi;3;2025-10-14;1675000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (12.05.2026 11:45);25.000;2025-07-16;"1"" KÖR TAPA 25.000 Adet";0.0;;;;;;;2025-07-17;90 Gün;;;
2025/579864 ;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;CW617N Pirinç Malzemeden Mamul Kör Tapa Temini İşi;4;2025-11-13;1675000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (12.05.2026 11:45);25.000;2025-07-16;"1"" KÖR TAPA 25.000 Adet";0.0;;;;;;;2025-07-17;120 Gün;;;
2025/579864 ;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;CW617N Pirinç Malzemeden Mamul Kör Tapa Temini İşi;5;2025-12-13;825000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (12.05.2026 11:45);25.000;2025-07-16;"3/4"" KÖR TAPA 25.000 Adet";0.0;;;;;;;2025-07-17;150 Gün;;;
2025/579864 ;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;CW617N Pirinç Malzemeden Mamul Kör Tapa Temini İşi;6;2026-01-12;825000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (12.05.2026 11:45);25.000;2025-07-16;"3/4"" KÖR TAPA 25.000 Adet";0.0;;;;;;;2025-07-17;180 Gün;;;
2025/579864 ;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;CW617N Pirinç Malzemeden Mamul Kör Tapa Temini İşi;7;2026-02-11;825000.0;1.0;1.0;1.0;1.0;1.0;;1.0;;Toplu Düzenleme: Halil (12.05.2026 11:45);25.000;2025-07-16;"3/4"" KÖR TAPA 25.000 Adet";0.0;;;;;;;2025-07-17;210 Gün;;;
2025/579864 ;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;CW617N Pirinç Malzemeden Mamul Kör Tapa Temini İşi;8;2026-03-13;825000.0;1.0;1.0;1.0;1.0;1.0;;1.0;;Toplu Düzenleme: Halil (12.05.2026 11:45);25.000;2025-07-16;"3/4"" KÖR TAPA 25.000 Adet";0.0;;;;;;;2025-07-17;240 Gün;;;
2025/982660;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;CW617N Pirinç Malzemeden Mamul Manşon Tip Bağlantı Parçası 3/4 Temini;1;2025-11-12;3097500.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (12.05.2026 11:45);10.000;2025-10-13;;0.0;;;;;;;2025-10-14;30 Gün;;;
2025/982660;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;CW617N Pirinç Malzemeden Mamul Manşon Tip Bağlantı Parçası 3/4 Temini;2;2025-12-12;3097500.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (12.05.2026 11:45);10.000;2025-10-13;;0.0;;;;;;;2025-10-14;60 Gün;;;
2025/982660;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;CW617N Pirinç Malzemeden Mamul Manşon Tip Bağlantı Parçası 3/4 Temini;3;2026-01-11;3097500.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;14.01.2026 tarihli MK evragi imzalandi;Toplu Düzenleme: Halil (12.05.2026 11:45);10.000;2025-10-13;;0.0;;;;;;;2025-10-14;90 Gün;;;
2025/982660;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;CW617N Pirinç Malzemeden Mamul Manşon Tip Bağlantı Parçası 3/4 Temini;4;2026-02-10;9292500.0;1.0;1.0;1.0;1.0;1.0;;1.0;Muayene ve Kabul Raporu geldi.;Toplu Düzenleme: Halil (12.05.2026 11:45);30.000;2025-10-13;;0.0;;;;;;;2025-10-14;120 Gün;;;
2025/982660;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;CW617N Pirinç Malzemeden Mamul Manşon Tip Bağlantı Parçası 3/4 Temini;5;2026-03-12;9292500.0;1.0;1.0;1.0;1.0;1.0;;1.0;Muayene ve Kabul heyeti raporu imzadan geldi.;Toplu Düzenleme: Halil (12.05.2026 11:45);30.000;2025-10-13;;0.0;;;;;;;2025-10-14;150 Gün;;;
2025/982660;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;CW617N Pirinç Malzemeden Mamul Manşon Tip Bağlantı Parçası 3/4 Temini;6;2026-04-11;9292500.0;1.0;1.0;1.0;1.0;1.0;;1.0;Royaltest sonucu geldi. TSE sonucu uygun.;Toplu Düzenleme: Halil (12.05.2026 11:45);30.000;2025-10-13;;1.0;;;;;;;2025-10-14;180 Gün;;;
2025/982660;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;CW617N Pirinç Malzemeden Mamul Manşon Tip Bağlantı Parçası 3/4 Temini;7;2026-05-11;12390000.0;1.0;1.0;1.0;0.0;0.0;;0.0;TSE SONUÇ GELECEK;Toplu Düzenleme: Halil (12.05.2026 11:45);40.000;2025-10-13;;0.0;;Royaltest, TSE;;;;;2025-10-14;210 Gün;;;
2025/982660;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;CW617N Pirinç Malzemeden Mamul Manşon Tip Bağlantı Parçası 3/4 Temini;8;2026-06-10;12390000.0;;;;;0.0;;;;Toplu Düzenleme: Halil (12.05.2026 11:45);40.000;2025-10-13;;0.0;;;;;;;2025-10-14;240 Gün;;;
2024/1512611;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;Çift Küreselli Vana Priz Kolye Seti Temini İşi;1;2025-03-01;19880000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (12.05.2026 11:45);8.000;2025-01-31;"DN100 x Ø32mm Çift Küreselli Vana Priz Kolye Seti 4.000 Adet
DN150 x Ø32mm Çift Küreselli Vana Priz Kolye Seti 2.000 Adet
DN150 x Ø40mm Çift Küreselli Vana Priz Kolye Seti 2.000 Adet";0.0;;;;;194756075;;2025-02-01;29 Gün;;;
2024/1512611;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;Çift Küreselli Vana Priz Kolye Seti Temini İşi;2;2025-03-31;19880000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (12.05.2026 11:45);8.000;2025-01-31;"DN100 x Ø32mm Çift Küreselli Vana Priz Kolye Seti 4.000 Adet
DN150 x Ø32mm Çift Küreselli Vana Priz Kolye Seti 2.000 Adet
DN150 x Ø40mm Çift Küreselli Vana Priz Kolye Seti 2.000 Adet";0.0;;;;;194756075;;2025-02-01;59 Gün;;;
2024/1512611;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;Çift Küreselli Vana Priz Kolye Seti Temini İşi;3;2025-04-30;19880000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (12.05.2026 11:45);8.000;2025-01-31;"DN100 x Ø32mm Çift Küreselli Vana Priz Kolye Seti 4.000 Adet
DN150 x Ø32mm Çift Küreselli Vana Priz Kolye Seti 2.000 Adet
DN150 x Ø40mm Çift Küreselli Vana Priz Kolye Seti 2.000 Adet";0.0;;;;;194756075;;2025-02-01;89 Gün;;;
2024/1512611;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;Çift Küreselli Vana Priz Kolye Seti Temini İşi;4;2025-05-30;19880000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (12.05.2026 11:45);8.000;2025-01-31;"DN100 x Ø32mm Çift Küreselli Vana Priz Kolye Seti 4.000 Adet
DN150 x Ø32mm Çift Küreselli Vana Priz Kolye Seti 2.000 Adet
DN150 x Ø40mm Çift Küreselli Vana Priz Kolye Seti 2.000 Adet";0.0;;;;;194756075;;2025-02-01;119 Gün;;;
2024/1512611;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;Çift Küreselli Vana Priz Kolye Seti Temini İşi;5;2025-06-29;19880000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (12.05.2026 11:45);8.000;2025-01-31;"DN100 x Ø32mm Çift Küreselli Vana Priz Kolye Seti 4.000 Adet
DN150 x Ø32mm Çift Küreselli Vana Priz Kolye Seti 2.000 Adet
DN150 x Ø40mm Çift Küreselli Vana Priz Kolye Seti 2.000 Adet";0.0;;;;;194756075;;2025-02-01;149 Gün;;;
2025/240207;Gül Pres Döküm Sanayi A.Ş.;Çift Küreselli Vana Priz Kolye Seti Temini İşi (1.Kısım);1;2025-07-02;34945000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (13.05.2026 01:05);5.000;2025-06-03;DN100 x Ø32mm Çift Küreselli Vana Priz Kolye Seti 5.000 Ad.;0.0;;;;;;;2025-06-03;30 Gün;;;
2025/240207;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;Çift Küreselli Vana Priz Kolye Seti Temini İşi (2.Kısım);1;2025-07-02;8444000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (13.05.2026 01:06);1.000;2025-06-03;DN200 x Ø40mm Çift Küreselli Vana Priz Kolye Seti 1.000 Ad.;0.0;;;;;;;2025-06-03;30 Gün;;;
2025/240207;Gül Pres Döküm Sanayi A.Ş.;Çift Küreselli Vana Priz Kolye Seti Temini İşi (1.Kısım);2;2025-08-01;34945000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (13.05.2026 01:05);5.000;2025-06-03;DN100 x Ø32mm Çift Küreselli Vana Priz Kolye Seti 5.000 Ad.;0.0;;;;;;;2025-06-03;60 Gün;;;
2025/240207;Gül Pres Döküm Sanayi A.Ş.;Çift Küreselli Vana Priz Kolye Seti Temini İşi (1.Kısım);3;2025-08-31;34945000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;.;Toplu Düzenleme: Halil (13.05.2026 01:05);5.000;2025-06-03;DN100 x Ø32mm Çift Küreselli Vana Priz Kolye Seti 5.000 Ad.;0.0;;;;;;;2025-06-03;90 Gün;;;
2025/240207;Gül Pres Döküm Sanayi A.Ş.;Çift Küreselli Vana Priz Kolye Seti Temini İşi (1.Kısım);4;2025-09-30;34945000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (13.05.2026 01:05);5.000;2025-06-03;DN100 x Ø32mm Çift Küreselli Vana Priz Kolye Seti 5.000 Ad.;0.0;;;;;;;2025-06-03;120 Gün;;;
2025/163 - Trampa;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;İdare Ambarındaki Kullanılmış DN20mm Ön Ödemeli (kartlı) Soğuk Su Sayaçlarının, Teknik Şartnameye Uygun Yeni DN80mm Türbinli ve Hız Ölçüm Esaslı Woltman Tip (Flanşlı) Soğuk Su Sayaçları İle Değişimi;1;2025-11-21;682920.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Düzenleme: Halil (29.04.2026 09:07);85;2025-10-07;85 Ad. DN80mm Türbinli ve Hız Ölçüm Esaslı Woltman Tip (Flanşlı) Soğuk su sayacı  (4.000 kg. karşılığı);0.0;;;;;;;2025-10-08;45 Gün;;;
2024/235 - Trampa;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;İdare Ambarındaki Kullanılmış DN20mm Soğuk Su Sayaçlarının, Teknik Şartnamelere Uygun Yeni DN25mm (Rakorlu), DN40mm (Rakorlu), DN50mm (Rakorlu) ve DN200mm Türbinli Hız Ölçüm Esaslı Woltman Tipi (FLANŞLI) Soğuk Su Sayaçları ile Değişimi İşi;1;2025-01-11;449000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Düzenleme: Halil (27.03.2026 09:54);40;2024-12-23;DN200mm Flanşlı 40 Ad.;0.0;;;;;;;2024-12-24;19 Gün;;;
2024/235 - Trampa;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;İdare Ambarındaki Kullanılmış DN20mm Soğuk Su Sayaçlarının, Teknik Şartnamelere Uygun Yeni DN25mm (Rakorlu), DN40mm (Rakorlu), DN50mm (Rakorlu) ve DN200mm Türbinli Hız Ölçüm Esaslı Woltman Tipi (FLANŞLI) Soğuk Su Sayaçları ile Değişimi İşi;2;2025-02-10;846666.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Düzenleme: Halil (27.03.2026 09:55);200;2024-12-23;DN50mm Rakorlu 200 Ad.;0.0;;;;;;;2024-12-24;49 Gün;;;
2024/235 - Trampa;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;İdare Ambarındaki Kullanılmış DN20mm Soğuk Su Sayaçlarının, Teknik Şartnamelere Uygun Yeni DN25mm (Rakorlu), DN40mm (Rakorlu), DN50mm (Rakorlu) ve DN200mm Türbinli Hız Ölçüm Esaslı Woltman Tipi (FLANŞLI) Soğuk Su Sayaçları ile Değişimi İşi;3;2025-03-12;3013330.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Düzenleme: Halil (27.03.2026 09:55);1.000;2024-12-23;DN40mm Rakorlu 1.000 Ad.;0.0;;;;;;;2024-12-24;79 Gün;;;
2024/235 - Trampa;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;İdare Ambarındaki Kullanılmış DN20mm Soğuk Su Sayaçlarının, Teknik Şartnamelere Uygun Yeni DN25mm (Rakorlu), DN40mm (Rakorlu), DN50mm (Rakorlu) ve DN200mm Türbinli Hız Ölçüm Esaslı Woltman Tipi (FLANŞLI) Soğuk Su Sayaçları ile Değişimi İşi;4;2025-04-11;7800000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Düzenleme: Halil (27.03.2026 09:55);4.000;2024-12-23;DN25mm Rakorlu 4.000 Ad.;0.0;;;;;;;2024-12-24;109 Gün;;;
2025/0031 - Trampa;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;İdare Ambarındaki Kullanılmış DN20mm Su Sayaçlarının, Teknik Şartnameye Uygun DN20 mm Eğik Kadranlı ve Hız Esaslı R100 Soğuk Su Sayaçları ile Değişimi;1;2025-05-16;28750000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (13.05.2026 01:06);32.250;2025-04-17;700.000 kg kullanılmış sayaç => 129.000 ad. Yeni sayaç;0.0;;;;;105000000;;2025-04-17;30 Gün;;;
2025/0031 - Trampa;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;İdare Ambarındaki Kullanılmış DN20mm Su Sayaçlarının, Teknik Şartnameye Uygun DN20 mm Eğik Kadranlı ve Hız Esaslı R100 Soğuk Su Sayaçları ile Değişimi;2;2025-06-15;28750000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (13.05.2026 01:06);32.250;2025-04-17;700.000 kg kullanılmış sayaç => 129.000 ad. Yeni sayaç;0.0;;;;;105000000;;2025-04-17;60 Gün;;;
2025/0031 - Trampa;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;İdare Ambarındaki Kullanılmış DN20mm Su Sayaçlarının, Teknik Şartnameye Uygun DN20 mm Eğik Kadranlı ve Hız Esaslı R100 Soğuk Su Sayaçları ile Değişimi;3;2025-07-15;28750000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (13.05.2026 01:06);32.250;2025-04-17;700.000 kg kullanılmış sayaç => 129.000 ad. Yeni sayaç;0.0;;;;;105000000;;2025-04-17;90 Gün;;;
2025/0031 - Trampa;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;İdare Ambarındaki Kullanılmış DN20mm Su Sayaçlarının, Teknik Şartnameye Uygun DN20 mm Eğik Kadranlı ve Hız Esaslı R100 Soğuk Su Sayaçları ile Değişimi;4;2025-08-14;28750000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (13.05.2026 01:06);32.250;2025-04-17;700.000 kg kullanılmış sayaç => 129.000 ad. Yeni sayaç;0.0;;;;;105000000;;2025-04-17;120 Gün;;;
2025/162 - Trampa;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;İdare Ambarındaki Kullanılmış DN20mm Su Sayaçlarının, Teknik Şartnameye Uygun Yeni DN100 mm Türbinli ve Hız Ölçüm Esaslı Woltman Tip (Flanşlı) Soğuk Su Sayaçları İle Değişimi;1;2025-12-06;4268251.25;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 13:00);505;2025-10-07;50.000 kg kullanılmış sayaç => 1010 ad. Yeni sayaç;0.0;;;;;;;2025-10-08;60 Gün;;;
2025/162 - Trampa;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;İdare Ambarındaki Kullanılmış DN20mm Su Sayaçlarının, Teknik Şartnameye Uygun Yeni DN100 mm Türbinli ve Hız Ölçüm Esaslı Woltman Tip (Flanşlı) Soğuk Su Sayaçları İle Değişimi;2;2026-02-04;4268251.25;1.0;1.0;1.0;1.0;1.0;;1.0;;Toplu Düzenleme: Halil (25.03.2026 13:00);505;2025-10-07;50.000 kg kullanılmış sayaç => 1010 ad. Yeni sayaç;0.0;;;;;;;2025-10-08;120 Gün;;;
